Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,02/04/2020 09:43,13522,414,397
Zhejiang,Mainland China,02/04/2020 13:03,829,0,62
Guangdong,Mainland China,02/04/2020 13:03,813,0,30
Henan,Mainland China,02/04/2020 11:53,675,2,27
Hunan,Mainland China,02/04/2020 14:03,593,0,31
Anhui,Mainland China,02/04/2020 05:33,480,0,20
Jiangxi,Mainland China,02/04/2020 14:43,476,0,20
Chongqing,Mainland China,02/04/2020 08:23,344,2,9
Jiangsu,Mainland China,02/04/2020 11:53,308,0,12
Sichuan,Mainland China,02/04/2020 01:43,282,1,14
Shandong,Mainland China,02/04/2020 12:03,275,0,11
Beijing,Mainland China,02/04/2020 08:33,228,1,23
Shanghai,Mainland China,02/04/2020 06:33,219,1,12
Fujian,Mainland China,02/04/2020 12:13,194,0,3
Heilongjiang,Mainland China,02/04/2020 07:43,155,2,4
Shaanxi,Mainland China,02/04/2020 12:33,142,0,2
Guangxi,Mainland China,02/04/2020 05:53,139,0,10
Hebei,Mainland China,02/04/2020 08:53,126,1,4
Yunnan,Mainland China,02/04/2020 07:03,119,0,5
Liaoning,Mainland China,02/04/2020 14:13,81,0,2
Hainan,Mainland China,02/04/2020 11:33,80,1,5
Shanxi,Mainland China,02/04/2020 12:33,74,0,4
Tianjin,Mainland China,02/04/2020 13:33,67,0,2
Guizhou,Mainland China,02/04/2020 10:43,58,0,2
Gansu,Mainland China,02/04/2020 15:43,57,0,4
Jilin,Mainland China,02/04/2020 00:23,42,0,1
Inner Mongolia,Mainland China,02/04/2020 03:03,35,0,1
Ningxia,Mainland China,02/04/2020 02:13,34,0,1
Xinjiang,Mainland China,02/04/2020 01:33,29,0,0
,Thailand,02/04/2020 15:33,25,0,5
,Singapore,02/04/2020 15:33,24,0,0
,Japan,02/04/2020 16:43,22,0,1
Hong Kong,Hong Kong,02/04/2020 09:03,17,1,0
,South Korea,02/04/2020 15:33,16,0,0
Qinghai,Mainland China,02/04/2020 01:33,15,0,0
,Germany,02/03/2020 20:53,12,0,0
Taiwan,Taiwan,02/04/2020 14:53,11,0,0
Macau,Macau,02/04/2020 04:43,10,0,0
,Malaysia,02/04/2020 07:33,10,0,0
,Vietnam,02/03/2020 21:43,8,0,1
,France,02/01/2020 01:52,6,0,0
,United Arab Emirates,02/02/2020 05:43,5,0,0
New South Wales,Australia,02/01/2020 18:12,4,0,2
Victoria,Australia,02/01/2020 18:12,4,0,0
Queensland,Australia,02/04/2020 16:53,3,0,0
,India,02/03/2020 21:43,3,0,0
South Australia,Australia,02/02/2020 22:33,2,0,0
"Toronto, ON",Canada,02/04/2020 00:13,2,0,0
,Italy,1/31/20 8:15,2,0,0
,Philippines,02/02/2020 03:33,2,1,0
,Russia,1/31/20 16:13,2,0,0
,UK,02/01/2020 01:52,2,0,0
"Chicago, IL",US,02/01/2020 19:43,2,0,0
"San Benito, CA",US,02/03/2020 03:53,2,0,0
"Santa Clara, CA",US,02/03/2020 00:43,2,0,0
,Belgium,02/04/2020 15:43,1,0,0
,Cambodia,1/31/20 8:15,1,0,0
British Columbia,Canada,02/01/2020 18:12,1,0,0
"London, ON",Canada,02/04/2020 00:03,1,0,0
,Finland,1/31/20 8:15,1,0,0
Tibet,Mainland China,02/01/2020 01:52,1,0,0
,Nepal,1/31/20 8:15,1,0,0
,Spain,02/01/2020 23:43,1,0,0
,Sri Lanka,1/31/20 8:15,1,0,0
,Sweden,02/01/2020 02:13,1,0,0
"Boston, MA",US,02/01/2020 19:43,1,0,0
"Los Angeles, CA",US,02/01/2020 19:53,1,0,0
"Orange, CA",US,02/01/2020 19:53,1,0,0
"Seattle, WA",US,02/01/2020 19:43,1,0,0
"Tempe, AZ",US,02/01/2020 19:43,1,0,0
